,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 11
40688,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031150,All Other Instruments,PH211800041008,PrepStain Instr Accessories,PH211800051014,Spares-PrepStainInst,490759,COUPLING INS IN LINE HOSE BARB SET OF 5,490759-COUPLING INS IN LINE HOSE BARB SET OF 5,DS-490759,$195 ,5,Matched by 2024 Material ID,Purewick device
40689,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306001,Alaris System,PH230600121012,Service,PH230600131108,Alaris System Service Parts,PH230600141255,Medley NONCATALOG,PH230600151403,Medley NONCATALOG,49000933,ASSY HARNESS DISPLAY 8110/8120,49000933-ASSY HARNESS DISPLAY 8110/8120,MMS-49000933,$194 ,5,Classified by ML model,safety wingset
40690,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401531,Total Home Care Sales,PH240153121002,Urology Home Care,PH240153131027,Home Care Non Bard,PH240153141054,UK DAC Sales (Non Bard),PH240153151054,UK DAC Sales (Non Bard),UKRMSKU16270,PIONEER CONTIFORM LARGE,UKRMSKU16270-PIONEER CONTIFORM LARGE,UCC-UKRMSKU16270,$184 ,5,Matched by 2024 Material ID,Purewick catheter
40691,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401110,Oncology,PH240111021005,Vacuum Assisted,PH240111031049,Vacora Capital,PH240111041068,Vacora Capital,PH240111051083,Vacora Capital,VC10140,COAX CANNULA 10GX140MM,VC10140-COAX CANNULA 10GX140MM,PI-VC10140,$180 ,5,Matched by 2024 Material ID,Safety Wingset
40692,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306006,BD Nexus,PH230600621002,Service,PH230600631027,BD Nexus Service Parts,PH230600641030,Spares SYP,PH230600651032,S700,12040000402,SYRINGE PUMP MOTOR SPEED DETECTION BOARD,12040000402-SYRINGE PUMP MOTOR SPEED DETECTION BOARD,MMS-12040000402,$165 ,5,Classified by ML model,safety wingset
40693,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306001,Alaris System,PH230600121012,Service,PH230600131108,Alaris System Service Parts,PH230600141255,Medley NONCATALOG,PH230600151403,Medley NONCATALOG,147792-000,STRAP IUI BKT 8110/8120.,147792-000-STRAP IUI BKT 8110/8120.,MMS-147792-000,$124 ,5,Matched by 2024 Material ID,Safety Wingset
40694,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421550,ID/AST,PH211100436050,Sensi Disc,PH211100441259,Sensi Disc Cartridges,PH211100451456,Single,231648,Disc Ticarcillin/Clavulanic Tim-85 1 Ea,231648-Disc Ticarcillin/Clavulanic Tim-85 1 Ea,DS-231648,$103 ,5,Matched by 2024 Material ID,Vacutainer tubes
40695,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401521,Total Acute Urology,PH240152121002,Urological Drainage,PH240152131027,IC Latex Trays,PH240152141097,I/C Foley Tray with Statlock,PH240152151097,I/C Foley Tray with Statlock,7730018LS,MEDKIT WITH SCM UMB &,7730018LS-MEDKIT WITH SCM UMB &,UCC-7730018LS,$82 ,5,Matched by 2024 Material ID,Purewick canister & tubing
40696,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022600,Other Instrument Revenue (Research),PH220070034050,Other Instrument Revenue (Research),PH220070041071,Computers & Software (Research),PH220070051221,Computers & Software (Research),664885,Software Kit FACSDiva v9.1 w/Dongle,664885-Software Kit FACSDiva v9.1 w/Dongle,BDB-664885,"$1,001 ",1,EXCLUDED: SOFTWARE,EXCLUDE
40697,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306006,BD Nexus,PH230600621002,Service,PH230600631027,BD Nexus Service Parts,PH230600641029,Spares Parts,PH230600651031,Spares Parts,14620009201,FFC FROM UI CONTROL BOARD TO MAINBOARD,14620009201-FFC FROM UI CONTROL BOARD TO MAINBOARD,MMS-14620009201,$79 ,5,Classified by ML model,safety wingset
