,SEG,BU,Platform,Product Category,Product Line,Product Set
45430,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45431,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45432,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45437,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45439,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
45444,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY775 MTS
45445,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB780 OptiBuild
45446,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
45450,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
45451,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non-Sirigen - OptiBuild,Non Sirigen - Optibuild (Flow Cytometry)
45453,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45457,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45461,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non-Sirigen - OptiBuild,Non Sirigen - Optibuild (Flow Cytometry)
45462,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY586 OptiBuild
45466,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY586 OptiBuild
45467,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45468,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45469,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB780 OptiBuild
