,SEG,BU,Platform,Product Category,Product Line,Product Set
45780,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB780 OptiBuild
45782,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - Immune Function (Flow Cytometry),Sirigen - Immune Function (Flow Cytometry)
45783,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45784,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB744 OptiBuild
45785,BLS,BDB,Research Reagents,Research Non-Core,Non-Flow Cytometry - Assays,Non-Flow Cytometry - Assays
45786,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
45787,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
45788,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
45789,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Red MTS,RR688 MTS
45792,BDI,UCC,Targeted Temperature Management,TTM Other,Arctic Sun-Accessories,Arctic Sun-Accessories
45793,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45794,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
