,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 12
52017,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023200,FACSCanto,PH220020035850,FACSCanto Instrument,PH220020041120,FACSCanto Instrument,PH220020051321,FACSCanto II Instrument,33896209,Canto II Fl Cytometer IVD 4/2/2 Sys REC,33896209-Canto II Fl Cytometer IVD 4/2/2 Sys REC,BDB-33896209, $-   ,1,Matched by Material ID,rowa
52821,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146032100,InoqulA Talon Instr - Sale,PH211146041038,InoqulA Talon Instr - Sale,PH211146051067,InoqulA Talon Instr - Sale,DUMMYSKU016_IDS,Dummy SKU - InoqulA Talon Instr - Sale,DUMMYSKU016_IDS-Dummy SKU - InoqulA Talon Instr - Sale,DS-DUMMYSKU016_IDS, $-   ,1,Classified by ML model,rowa
52822,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146032400,TMT - TLA - Sale,PH211146041019,TMT - TLA - Sale,PH211146051050,TMT - TLA - Sale,DUMMYSKU080_IDS,Dummy SKU - TMT - TLA - Sale,DUMMYSKU080_IDS-Dummy SKU - TMT - TLA - Sale,DS-DUMMYSKU080_IDS, $-   ,1,Classified by ML model,rowa
52823,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031100,FocalPoint Instr - Sale,PH211800041004,FocalPoint Sales,PH211800051006,FocalPoint Sales,490137,Inst Focalpoint 230V 15Fov Under 5%,490137-Inst Focalpoint 230V 15Fov Under 5%,DS-490137, $-   ,1,Classified by ML model,rowa
52824,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031100,FocalPoint Instr - Sale,PH211800041004,FocalPoint Sales,PH211800051006,FocalPoint Sales,490138,Inst Focalpoint 230V 15Fov Refurb,490138-Inst Focalpoint 230V 15Fov Refurb,DS-490138, $-   ,1,Classified by ML model,rowa
52923,BDM,MMS,Medication Management Solutions (MMS),MMP,Pharmacy Automation,2305005,ROWA Retail,PH230500521300,ROWA Retail,PH230500531300,ROWA Retail - Other,PH230500541006,ROWA Retail - Other,PH230500551006,ROWA Retail - Other,PL_732_168,RWR Capital Sales Adjustment,PL_732_168-RWR Capital Sales Adjustment,MMS-PL_732_168,"$3,957,031 ", -   ,Classified by ML model,rowa
52925,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146032400,TMT - TLA - Sale,PH211146041019,TMT - TLA - Sale,PH211146051050,TMT - TLA - Sale,PL_716_210,TMT Instr - Sale Adjustment,PL_716_210-TMT Instr - Sale Adjustment,DS-PL_716_210,"$3,368,811 ", -   ,Matched by Material ID,rowa
52929,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146032450,TMT - TLA - Plcmt,PH211146041044,TMT - TLA - Plcmt,PH211146051073,TMT - TLA - Plcmt,PL_717_210,TMT Instr - Plcmt Adjustment,PL_717_210-TMT Instr - Plcmt Adjustment,DS-PL_717_210,"$2,519,725 ", -   ,Matched by Material ID,rowa
52939,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111001,Molecular Diagnostics,PH211100121250,BD COR,PH211100134650,BD COR GX/MX Instr - Sale,PH211100141002,BD COR GX/MX Instr - Sale,PH211100151002,BD COR GX/MX Instr - Sale,PL_714_125,BD COR GX/MX Instr - Sale Adjustment,PL_714_125-BD COR GX/MX Instr - Sale Adjustment,DS-PL_714_125,"$1,069,085 ", -   ,Classified by ML model,rowa
52978,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031400,InoqulA+ Instr- Sale,PH211146041022,InoqulA+ Instr- Sale,PH211146051043,InoqulA+ Instr- Sale,PL_691_210,InoqulA Instrument - Sale Adjustment,PL_691_210-InoqulA Instrument - Sale Adjustment,DS-PL_691_210,"$293,794 ", -   ,Matched by Material ID,rowa
52992,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111001,Molecular Diagnostics,PH211100121250,BD COR,PH211100134650,BD COR GX/MX Instr - Sale,PH211100141002,BD COR GX/MX Instr - Sale,PH211100151002,BD COR GX/MX Instr - Sale,443989,BD COR MX INSTRUMENT,443989-BD COR MX INSTRUMENT,DS-443989,"$221,723 ", -   ,Matched by Material ID,rowa
53042,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031700,MultiProcessor Instr - Plcmt,PH211800041040,MultiProcessor- Placements,PH211800051070,MultiProcessor-Placements,444137,MultiProcessor Instrument Placement,444137-MultiProcessor Instrument Placement,DS-444137,"$123,527 ", -   ,Matched by Material ID,rowa
53078,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146032100,InoqulA Talon Instr - Sale,PH211146041038,InoqulA Talon Instr - Sale,PH211146051067,InoqulA Talon Instr - Sale,PL_697_210,InoqulA Talon Instrument - Sale Adjustment,PL_697_210-InoqulA Talon Instrument - Sale Adjustment,DS-PL_697_210,"$86,553 ", -   ,Matched by Material ID,rowa
