,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 12
54563,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,285006,Lab Automation Other Placement & Patents,285006-Lab Automation Other Placement & Patents,DS-285006, $-   , -   ,Classified by ML model,bactec fx machine
54564,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,447296,TLA ID/AST Table 55,447296-TLA ID/AST Table 55,DS-447296, $-   , -   ,Matched by Material ID,bactec fx machine
54565,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,WCA-HPWS-ZHR,WCA-HP WORKER STATION,WCA-HPWS-ZHR-WCA-HP WORKER STATION,DS-WCA-HPWS-ZHR, $-   , -   ,Matched by Material ID,bactec fx machine
54582,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421550,ID/AST,PH211100436250,Phoenix AP Instr - Sale,PH211100441283,Phoenix AP Sales,PH211100451510,Phoenix AP Sales,DJ0909-000-02,Nozzle Connection,DJ0909-000-02-Nozzle Connection,DS-DJ0909-000-02,($1), -   ,Classified by ML model,bactec fx machine
54591,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421550,ID/AST,PH211100436250,Phoenix AP Instr - Sale,PH211100441283,Phoenix AP Sales,PH211100451510,Phoenix AP Sales,DY0809-200-01,NOZZLE (HOLE TYPE NOZZLE/TEFLON NO 1),DY0809-200-01-NOZZLE (HOLE TYPE NOZZLE/TEFLON NO 1),DS-DY0809-200-01,($1), -   ,Classified by ML model,bactec fx machine
55066,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421500,Blood Culture,PH211100435800,BACTEC FX 40 Instr - Sale,PH211100441245,BACTECFX40 Inst Sale,PH211100451425,BACTECFX40 Inst Sale,PL_686_127,BACTEC FX 40 Instrument - Sale Adjustment,PL_686_127-BACTEC FX 40 Instrument - Sale Adjustment,DS-PL_686_127,"($5,955)", -   ,Matched by Material ID,bactec fx machine
55105,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031500,TLA Instr - Plcmt,PH211146041024,TLA Instrument - Plcmt,PH211146051047,TLA Instrument - Plcmt,285032,Lab Automation Instr TLA Placement,285032-Lab Automation Instr TLA Placement,DS-285032,"($10,253)", -   ,Matched by Material ID,bactec fx machine
55120,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421500,Blood Culture,PH211100435400,BACTEC 9000 Instr - Sale,PH211100441219,BACTEC 9240 Inst - Sales,PH211100451375,BACTEC 9240 Inst - S,445475,Instrument Bactec 9240 CR,445475-Instrument Bactec 9240 CR,DS-445475,"($13,189)", -   ,Matched by Material ID,bactec fx machine
55149,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421450,TB,PH211100434950,BACTEC MGIT 960 Instr - Sale,PH211100441197,BACTEC MGIT 960 -Sales,PH211100451341,BACTEC MGIT 960 -Sales Adjustment,PL_575_127,TB Instruments Adjustment,PL_575_127-TB Instruments Adjustment,DS-PL_575_127,"($18,267)", -   ,Classified by ML model,bactec fx machine
55172,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421500,Blood Culture,PH211100435600,BACTEC FX Instr - Sale,PH211100441239,BACTEC FX Instr - Sale Adjustment,PH211100451414,BACTEC FX Instr - Sale Adjustment,PL_590_127,Blood Culture Instr Adjustment,PL_590_127-Blood Culture Instr Adjustment,DS-PL_590_127,"($26,939)", -   ,Classified by ML model,bactec fx machine
55191,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421550,ID/AST,PH211100435850,Phoenix 100 Instr - Sale,PH211100441246,Phoenix 100 - Sales,PH211100451428,Phoenix 100 - Sales Adjustment,PL_595_127,Phoenix Instruments Adjustment,PL_595_127-Phoenix Instruments Adjustment,DS-PL_595_127,"($38,247)", -   ,Matched by Material ID,bactec fx machine
55209,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,444061,BD Kiestra IdentifA TLA Connection,444061-BD Kiestra IdentifA TLA Connection,DS-444061,"($47,482)", -   ,Matched by Material ID,bactec fx machine
55515,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022650,FACSymphony Sorters,PH220070033300,FACSymphony S6,PH220070041055,FACSymphony S6,PH220070051200,FACSymphony S6,66293781,S6 Sort B15R14V20YG15UV60 SPEC SS HOOD,66293781-S6 Sort B15R14V20YG15UV60 SPEC SS HOOD,BDB-66293781,"($593,956)",-1,Matched by Material ID,bactec fx machine
