,SEG,BU,Platform,Product Category,Product Line,Product Set,CAT 11,preds,probs
54049,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
54050,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
54051,BDI,PI,End Stage Kidney Disease,Endo AVF,WavelinQ Capital,WavelinQ Capital,Purewick device,powerport,0.65
54054,BDI,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose Accessories,Safety Wingset,powerport,0.6
54055,BDI,PI,Peripheral Vascular Disease,Venous,Venclose,Virtual Bundles,Purewick canister & tubing,powerport,0.79
54064,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Capital,Rotarex Capital,Purewick device,purewick catheter,0.34
54065,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Crosser Capital,Crosser Capital,Purewick device,safety wingset,0.62
54066,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Crosser Capital,Crosser Capital,Purewick device,safety wingset,0.62
54067,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Crosser Capital,Crosser Capital,Purewick device,safety wingset,0.62
54068,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Crosser Capital,Crosser Capital,Purewick device,safety wingset,0.62
