,SEG,BU,Platform,Product Category,Product Line,Product Set,CAT 11,preds,probs
33819,BLS,DS,Molecular Diagnostics,ProbeTec/Viper,All Other BD Viper,Viper Ancillary Equipment,Neopak,safety wingset,0.46
34187,BDM,MMS,Alaris System,POC Systems,Alaris System Accessories - POC,Syringe Pump Accessories,Plastipak,purewick device,0.39
34400,BLS,BDB,Research Instruments,FACSDiscover S8,FACSDiscover S8 Options,FACSDiscover S8 Options,Purewick Device,pyxis,0.67
34429,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Capital,Rotarex Capital,Purewick device,purewick catheter,0.34
34432,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Ultra Capital,Pyxis,safety wingset,0.39
34434,BDI,PI,End Stage Kidney Disease,Endo AVF,WavelinQ Capital,WavelinQ Capital,Purewick device,powerport,0.65
34448,BLS,BDB,Research Instruments,LSR/Fortessa,LSR/Fortessa Options,LSR/Fortessa Options,Pyxis,rowa,0.65
34468,BDI,PI,End Stage Kidney Disease,Endo AVF,WavelinQ Capital,WavelinQ Capital,Purewick device,powerport,0.65
35011,BDM,MMS,Alaris System,DI Inst,Alaris System Accessories - DI Inst,Other,Veritor Assays,safety wingset,0.44
35199,BLS,SM,Specimen Management Other,Specimen Management Other,Specimen Management Other,All Other PAS,Plastipak,safety wingset,0.3
35247,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
35250,BDI,UCC,Targeted Temperature Management,Arctic Sun,Arctic Sun-Hardware Placement,Arctic Sun-Hardware Placement,Purewick device,pyxis,0.83
35307,BLS,DS,Molecular Diagnostics,ProbeTec/Viper,All Other BD Viper,Viper Ancillary Equipment,Neopak,safety wingset,0.46
35325,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat LX,Veritor Assays,powerport,0.74
35328,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
35351,BLS,DS,Molecular Diagnostics,ProbeTec/Viper,All Other BD Viper,Viper Ancillary Equipment,Neopak,safety wingset,0.46
35353,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
36115,BLS,DS,Lab Automation,Lab Automation,All Other Lab Automation Instruments,Other Instr- Sale,Plastipak,bactec fx machine,0.46
36138,BLS,BDB,Research Instruments,FACSAria,FACSAria Options,FACSAria Options,PowerPort,pyxis,0.59
36141,BLS,DS,Molecular Diagnostics,ProbeTec/Viper,All Other BD Viper,Viper Ancillary Equipment,Veritor device,safety wingset,0.46
36146,BLS,DS,Lab Automation,Lab Automation,All Other Lab Automation Instruments,Other Instr- Sale,Plastipak,bactec fx machine,0.46
36152,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat LX,Veritor Assays,powerport,0.74
36241,BLS,DS,Microbiology,Other Microbiology,All Other Microbiology,Meningitis,Veritor Assays,vacutainer tubes,0.5
36805,BDM,MMS,Alaris System,POC Systems,Alaris System Accessories - POC,Accessories,Purewick canister & tubing,powerport,0.33
37082,BDM,MMS,CME,POC Systems,CME BODYGUARD C VISION - Placement,Drug Infusion - Placement,Pyxis,purewick device,0.75
37102,BLS,BDB,Research Instruments,FACSVerse,FACSVerse Options,FACSVerse Loader,Safety Wingset,pyxis,0.52
37137,BLS,BDB,Single Cell Multiomics,SCM Other,SCM Other,SCM Other,Safety Wingset,bactec vials,0.45
37151,BDI,PI,End Stage Kidney Disease,Other Surgical ESKD,Other Surgical,Patches,Plastipak,powerport,0.65
37201,BLS,BDB,Research Instruments,Accuri,Accuri Options,Accuri Options,Purewick canister & tubing,pyxis,0.51
37465,BDM,MDS,Vascular Access Technologies,Site-Rite,Site-Rite Consoles - ISALES,Legacy Site Rite,Purewick catheter,purewick device,0.97
37877,BLS,BDB,Research Instruments,Accuri,Accuri Options,Accuri Options,Purewick canister & tubing,pyxis,0.51
37994,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research),Plastipak,veritor device,0.59
38047,BLS,DS,Molecular Diagnostics,ProbeTec/Viper,All Other BD Viper,Viper Ancillary Equipment,Neopak,safety wingset,0.46
38060,BLS,DS,Lab Automation,Lab Automation,All Other Lab Automation Instruments,Other Instr- Sale,Purewick device,bactec fx machine,0.46
39080,BDM,MMS,Alaris System,POC Systems,Alaris System Accessories - POC,Accessories,Purewick canister & tubing,powerport,0.33
39144,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
39145,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
39215,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
39219,BLS,DS,Microbiology,ID/AST,BioTyper Reagents/Accessories,BioTyper Reagents/Accessories,Purewick Device,bactec vials,0.93
39288,BDM,MMS,CME,POC Systems,CME BODYGUARD C VISION - Placement,Drug Infusion - Placement,Pyxis,purewick device,0.75
39352,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Capital,Rotarex Capital,Purewick device,purewick catheter,0.34
39360,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat Mesh,Veritor Assays,powerport,0.7
40463,BLS,DS,Lab Automation,Lab Automation,All Other Lab Automation Instruments,Other Instr- Sale,Plastipak,bactec fx machine,0.46
40736,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
40825,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
40831,BLS,BDB,Single Cell Multiomics,SCM Reagents,BD Immune Repertoire Profiling Reagents (BD VDJ),TCR/BCR,Pyxis,bactec vials,0.76
40856,BLS,BDB,Research Instruments,LSR/Fortessa,LSR/Fortessa Options,LSR/Fortessa Options,Pyxis,rowa,0.65
40857,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Capital,Rotarex Capital,Purewick device,purewick catheter,0.34
