,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 12
32984,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401110,Oncology,PH240111021005,Vacuum Assisted,PH240111031015,Encor Capital,PH240111041057,Encor Enspire Capital,PH240111051072,Encor Enspire Capital,PC3600,POWER CORD JAPAN,PC3600-POWER CORD JAPAN,PI-PC3600,"$2,458 ",13,Matched by Material ID,pyxis
33123,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401110,Oncology,PH240111021005,Vacuum Assisted,PH240111031015,Encor Capital,PH240111041057,Encor Enspire Capital,PH240111051072,Encor Enspire Capital,E4230STL,ENCOR ENSPIRE FOR LORAD TABLE,E4230STL-ENCOR ENSPIRE FOR LORAD TABLE,PI-E4230STL, $-   ,13,Matched by Material ID,pyxis
33126,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111006,Informatics,PH211100621000,Informatics,PH211100436600,Epicenter,PH211100441290,Epicenter Hardware,PH211100451521,Epicenter Hardware,580-AJIT,DELL PRO KEYBOARD AND MOUSE KM5221W,580-AJIT-DELL PRO KEYBOARD AND MOUSE KM5221W,DS-580-AJIT,"($2,214)",13,Matched by Material ID,pyxis
33128,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022800,FACSymphony A1,PH220070034500,FACSymphony A1 Instrument,PH220070041088,FACSymphony A1 Instrument,PH220070051249,FACSymphony A1 Instrument,664892,FACSSymphony A1 2B2R4YG6V,664892-FACSSymphony A1 2B2R4YG6V,BDB-664892,"$1,544,769 ",12,Matched by Material ID,pyxis
33130,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111001,Molecular Diagnostics,PH211100121250,BD COR,PH211100134600,BD COR GX/MX Instr - Plcmt,PH211100141001,BD COR GX/MX Instr - Plcmt,PH211100151001,BD COR GX/MX Instr - Plcmt,285089,BD Cor Instrument Placement GX/MX,285089-BD Cor Instrument Placement GX/MX,DS-285089,"$365,657 ",12,Matched by Material ID,pyxis
33131,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031500,SlidePrep Instr - Plcmt,PH211800041036,SlidePrep Instrument Placement,PH211800051062,SlidePrep Instrument Placement,444131,SlidePrep Instrument Placement,444131-SlidePrep Instrument Placement,DS-444131,"$243,645 ",12,Matched by Material ID,pyxis
33137,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401511,Targeted Temperature Management,PH240151121000,Arctic Sun,PH240151131000,Arctic Sun-Hardware,PH240151141026,Arctic Sun-Hrdware Repl Parts,PH240151151001,Arctic Sun-Hrdware Repl Parts,40308600,SPARE ISOLATION CIRC CRD M5000,40308600-SPARE ISOLATION CIRC CRD M5000,UCC-40308600,"$53,972 ",12,Matched by Material ID,pyxis
33142,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401110,Oncology,PH240111021007,Other Biopsy,PH240111031045,CoreLite Capital,PH240111041106,CoreLite Capital,PH240111051121,CoreLite Capital,CLTROLLEY,CORELITE TROLLEY / STAND,CLTROLLEY-CORELITE TROLLEY / STAND,PI-CLTROLLEY,"$29,089 ",12,Classified by ML model,pyxis
33165,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401511,Targeted Temperature Management,PH240151121000,Arctic Sun,PH240151131000,Arctic Sun-Hardware,PH240151141000,Arctic Sun-Hardware,PH240151151000,Arctic Sun-Hardware,400021216,ARCTIC SUN 5000 230V BRAZIL,400021216-ARCTIC SUN 5000 230V BRAZIL,UCC-400021216,"$14,099 ",12,Matched by Material ID,pyxis
33219,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111006,Informatics,PH211100621000,Informatics,PH211100436600,Epicenter,PH211100441290,Epicenter Hardware,PH211100451521,Epicenter Hardware,252235,PRINTER BARCODE EPICENTER PACKAGED JAPAN,252235-PRINTER BARCODE EPICENTER PACKAGED JAPAN,DS-252235,"$5,498 ",12,Matched by Material ID,pyxis
33382,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401511,Targeted Temperature Management,PH240151121000,Arctic Sun,PH240151131000,Arctic Sun-Hardware,PH240151141026,Arctic Sun-Hrdware Repl Parts,PH240151151001,Arctic Sun-Hrdware Repl Parts,403080-00,Tank Harness,403080-00-Tank Harness,UCC-403080-00,"$3,602 ",12,Matched by Material ID,pyxis
33771,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032550,FACSAria Fusion Instrument,PH220070041039,FACSAria Fusion Instrument,PH220070051179,FACSAria Fusion SORP Instrument,658282,BD FACSAria Fusion Special Order System,658282-BD FACSAria Fusion Special Order System,BDB-658282,"$4,304,178 ",11,Matched by Material ID,pyxis
33775,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421550,ID/AST,PH211100435900,BioTyper Instr - Sale,PH211100441247,BioTyper Sales,PH211100451429,LT MALDI-TOF Sales,1890217,BD-MALDI Biotyper sirius one IVD,1890217-BD-MALDI Biotyper sirius one IVD,DS-1890217,"$2,194,124 ",11,Matched by Material ID,pyxis
33782,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111001,Molecular Diagnostics,PH211100121050,Affirm,PH211100131800,Affirm Instr - Sale,PH211100141043,Affirm Instrument - Sales,PH211100151074,Affirm Instrument - Sales,250100,Processor BD Microprobe 120 Volt,250100-Processor BD Microprobe 120 Volt,DS-250100,"$120,156 ",11,Matched by Material ID,pyxis
33783,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023300,FACSDuet,PH220020036250,FACSDuet Options,PH220020041132,FACSDuet Options,PH220020051337,FACSDuet Other Options and Upgrades,662609,Secondary Tube Labels Printer,662609-Secondary Tube Labels Printer,BDB-662609,"$75,392 ",11,Matched by Material ID,pyxis
33795,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111006,Informatics,PH211100621000,Informatics,PH211100436650,Other Informatics,PH211100441296,DMS (Japan),PH211100451534,DMS (Japan),252047,KIT DMS STARTER JAPAN,252047-KIT DMS STARTER JAPAN,DS-252047,"$9,357 ",11,Classified by ML model,pyxis
33821,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111006,Informatics,PH211100621000,Informatics,PH211100436650,Other Informatics,PH211100441296,DMS (Japan),PH211100451534,DMS (Japan),252050,PRINTER DMS JAPAN,252050-PRINTER DMS JAPAN,DS-252050,"$5,944 ",11,Matched by Material ID,pyxis
34399,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023300,FACSDuet,PH220020036300,FACSDuet RR,PH220020041133,FACSDuet RR,PH220020051338,FACSDuet - Base Instrument RR,11012101A5194BASR,BLANK DESCRIPTION - TBD,11012101A5194BASR-BLANK DESCRIPTION - TBD,BDB-11012101A5194BASR, $-   ,11,Classified by ML model,pyxis
34401,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022550,FACSDiscover S8,PH220070034350,FACSDiscover S8 Options,PH220070041079,FACSDiscover S8 Options,PH220070051234,FACSDiscover S8 Options,S8-TABLE,S8 Instrument Table,S8-TABLE-S8 Instrument Table,BDB-S8-TABLE, $-   ,11,Classified by ML model,pyxis
34402,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022800,FACSymphony A1,PH220070035750,FACSymphony A1 RR,PH220070041113,FACSymphony A1 RR,PH220070051274,FACSymphony A1 RR,#BDBPLANMAT_FACSYMPHONYA1_RR,FACSymphony A1 RR,#BDBPLANMAT_FACSYMPHONYA1_RR-FACSymphony A1 RR,BDB-#BDBPLANMAT_FACSYMPHONYA1_RR, $-   ,11,Matched by Material ID,pyxis
34403,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022850,FACSDiscover A8,PH220070035650,FACSDiscover A8 Instrument RR,PH220070041111,FACSDiscover A8 Instrument RR,PH220070051272,FACSDiscover A8 Instrument RR,#BDBPLANMAT_MOSAICANALYZER_RR,Mosaic Instrument - Analyzer RR,#BDBPLANMAT_MOSAICANALYZER_RR-Mosaic Instrument - Analyzer RR,BDB-#BDBPLANMAT_MOSAICANALYZER_RR, $-   ,11,Classified by ML model,pyxis
34414,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023350,FACSLyric,PH220020036350,FACSLyric Instrument,PH220020041135,FACSLyric Instrument,PH220020051342,FACSLyric Instrument - 10 Color,EJR,BLANK DESCRIPTION - TBD,EJR-BLANK DESCRIPTION - TBD,BDB-EJR,"($17,128)",11,Matched by Material ID,pyxis
34418,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111001,Molecular Diagnostics,PH211100121200,BD MAX,PH211100133300,MAX Instr - Plcmt,PH211100141120,MAX 6Color Inst Plac,PH211100151214,MAX 6Color Inst Plac,435412,Lease Billing BD Max 6 Color,435412-Lease Billing BD Max 6 Color,DS-435412,"$20,455 ",11,Matched by Material ID,pyxis
34423,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032600,FACSAria Instrument,PH220070041040,FACSAria Instrument,PH220070051182,FACSAria III Instrument,648282B4,ARIA III ACDU 6B/3R/6V,648282B4-ARIA III ACDU 6B/3R/6V,BDB-648282B4,"$2,483,752 ",10,Matched by Material ID,pyxis
34424,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022200,FACSMelody,PH220070032950,FACSMelody Instrument,PH220070041047,FACSMelody Instrument,PH220070051191,FACSMelody Instrument,664338,BD FACSMelody BVYG 8-Color Plate 4way,664338-BD FACSMelody BVYG 8-Color Plate 4way,BDB-664338,"$1,929,545 ",10,Matched by Material ID,pyxis
34425,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022200,FACSMelody,PH220070032950,FACSMelody Instrument,PH220070041047,FACSMelody Instrument,PH220070051191,FACSMelody Instrument,653882,BD FACSMelody BR Plate 4way,653882-BD FACSMelody BR Plate 4way,BDB-653882,"$1,402,238 ",10,Matched by Material ID,pyxis
34426,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023350,FACSLyric,PH220020036350,FACSLyric Instrument,PH220020041135,FACSLyric Instrument,PH220020051345,FACSLyric Instrument - 8 Color,662877,FACSLyric 3L8C Instrument US,662877-FACSLyric 3L8C Instrument US,BDB-662877,"$1,355,029 ",10,Matched by Material ID,pyxis
34427,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111006,Informatics,PH211100621000,Informatics,PH211100436650,Other Informatics,PH211100441296,DMS (Japan),PH211100451534,DMS (Japan),252046,SET DMS SERVER JAPAN,252046-SET DMS SERVER JAPAN,DS-252046,"$489,999 ",10,Classified by ML model,pyxis
34432,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401110,Oncology,PH240111021005,Vacuum Assisted,PH240111031015,Encor Capital,PH240111041058,Encor Ultra Capital,PH240111051073,Encor Ultra Capital,E5230,ENCOR 220 TO 240V,E5230-ENCOR 220 TO 240V,PI-E5230,"$76,018 ",10,Matched by Material ID,pyxis
34444,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401511,Targeted Temperature Management,PH240151121000,Arctic Sun,PH240151131000,Arctic Sun-Hardware,PH240151141026,Arctic Sun-Hrdware Repl Parts,PH240151151001,Arctic Sun-Hrdware Repl Parts,40307800,MANIFOLD ASSEMBLY,40307800-MANIFOLD ASSEMBLY,UCC-40307800,"$22,353 ",10,Matched by Material ID,pyxis
34455,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401511,Targeted Temperature Management,PH240151121000,Arctic Sun,PH240151131000,Arctic Sun-Hardware,PH240151141026,Arctic Sun-Hrdware Repl Parts,PH240151151001,Arctic Sun-Hrdware Repl Parts,40308400,Processor Circuit Card,40308400-Processor Circuit Card,UCC-40308400,"$12,901 ",10,Matched by Material ID,pyxis
34458,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401511,Targeted Temperature Management,PH240151121000,Arctic Sun,PH240151131000,Arctic Sun-Hardware,PH240151141026,Arctic Sun-Hrdware Repl Parts,PH240151151001,Arctic Sun-Hrdware Repl Parts,403084-00,Processor Circuit Card,403084-00-Processor Circuit Card,UCC-403084-00,"$12,602 ",10,Matched by Material ID,pyxis
34472,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421000,Microbiology - PC Adjustment,PH211100437650,Microbiology - PC Adjustment,PH211100441379,Microbiology - PC Adjustment,PH211100451675,Microbiology - PC Adjustment,445331,POWER SUPPLY FX40 SPARE,445331-POWER SUPPLY FX40 SPARE,DS-445331,"$7,932 ",10,Classified by ML model,pyxis
34884,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401511,Targeted Temperature Management,PH240151121000,Arctic Sun,PH240151131000,Arctic Sun-Hardware,PH240151141026,Arctic Sun-Hrdware Repl Parts,PH240151151001,Arctic Sun-Hrdware Repl Parts,403105-00,ARCTIC SUN SPARE PART DRAIN VALAVES M500,403105-00-ARCTIC SUN SPARE PART DRAIN VALAVES M500,UCC-403105-00,"$2,398 ",10,Matched by Material ID,pyxis
35247,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401110,Oncology,PH240111021005,Vacuum Assisted,PH240111031015,Encor Capital,PH240111041057,Encor Enspire Capital,PH240111051072,Encor Enspire Capital,E4230US,ENCOR ENSPIRE FOR US,E4230US-ENCOR ENSPIRE FOR US,PI-E4230US, $-   ,10,Matched by Material ID,pyxis
35255,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023700,Lyse Wash Assistant,PH220020037350,LWA RR,PH220020041166,LWA RR,PH220020051401,LWA Instrument RR,#BDBPLANMAT_0045,Description - #BDBPlanMat_0045,#BDBPLANMAT_0045-Description - #BDBPlanMat_0045,BDB-#BDBPLANMAT_0045, $-   ,10,Matched by Material ID,pyxis
35302,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022550,FACSDiscover S8,PH220070034350,FACSDiscover S8 Options,PH220070041079,FACSDiscover S8 Options,PH220070051234,FACSDiscover S8 Options,667940,Kit 4 Tube holders UG KIT,667940-Kit 4 Tube holders UG KIT,BDB-667940, $-   ,10,Classified by ML model,pyxis
35311,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031150,All Other Instruments,PH211800041009,FocalPoint Instrument Accessories,PH211800051016,Spares - FocalPoint,490377,Power Cord 6 Ft Usa/Sau Wkstn,490377-Power Cord 6 Ft Usa/Sau Wkstn,DS-490377, $-   ,10,Classified by ML model,pyxis
35321,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022300,FACSymphony Analyzers,PH220070033150,FACSymphony A3 Sorp Instrument,PH220070041052,FACSymphony A3 Sorp Instrument,PH220070051197,FACSymphony A3 Sorp Instrument,660937Q6,SymphA3 SO B10R14V10YG10 349-100 HTSRDY,660937Q6-SymphA3 SO B10R14V10YG10 349-100 HTSRDY,BDB-660937Q6,"$3,246,916 ",9,Matched by Material ID,pyxis
35322,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022200,FACSMelody,PH220070032950,FACSMelody Instrument,PH220070041047,FACSMelody Instrument,PH220070051191,FACSMelody Instrument,664326,BD FACSMelody BRV 9 Color Plate EU 4way,664326-BD FACSMelody BRV 9 Color Plate EU 4way,BDB-664326,"$1,690,627 ",9,Matched by Material ID,pyxis
35323,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023350,FACSLyric,PH220020036350,FACSLyric Instrument,PH220020041135,FACSLyric Instrument,PH220020051343,FACSLyric Instrument - 4 Color,662875,FACSLyric 2L4C Instrument US,662875-FACSLyric 2L4C Instrument US,BDB-662875,"$1,023,447 ",9,Matched by Material ID,pyxis
35324,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023300,FACSDuet,PH220020035350,FACSDuet Premium Upgrade Kit,PH220020041217,FACSDuet Premium Upgrade Kit,PH220020051275,FACSDuet Premium Upgrade Kit,666341,BD FACSDuet Base to Premium Upgrade Kit*,666341-BD FACSDuet Base to Premium Upgrade Kit*,BDB-666341,"$322,119 ",9,Matched by Material ID,pyxis
35327,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220055021002,Cytognos Software,PH220055031006,Cytognos Infinicyt,PH220055041022,Cytognos Infinicyt,PH220055051035,Cytognos Licenses,CYT-INF-DN-R,Infinicyt RUO Network with Dongle+5DB,CYT-INF-DN-R-Infinicyt RUO Network with Dongle+5DB,BDB-CYT-INF-DN-R,"$35,490 ",9,Classified by ML model,pyxis
35328,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401110,Oncology,PH240111021005,Vacuum Assisted,PH240111031015,Encor Capital,PH240111041057,Encor Enspire Capital,PH240111051072,Encor Enspire Capital,DRENCORMR20,ENCOR MRI DRIVER-MDD,DRENCORMR20-ENCOR MRI DRIVER-MDD,PI-DRENCORMR20,"$30,721 ",9,Matched by Material ID,pyxis
35353,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401110,Oncology,PH240111021005,Vacuum Assisted,PH240111031015,Encor Capital,PH240111041057,Encor Enspire Capital,PH240111051072,Encor Enspire Capital,ECGEVERTFFADP,FIRE FORWARD ADAPTER FOR GE,ECGEVERTFFADP-FIRE FORWARD ADAPTER FOR GE,PI-ECGEVERTFFADP,"$8,369 ",9,Matched by Material ID,pyxis
35356,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022150,FACSJazz,PH220070032900,FACSJazz Options,PH220070041046,FACSJazz Options,PH220070051190,FACSJazz Other Options and Upgrades,657985,FACSJazz Table To Use With BSC,657985-FACSJazz Table To Use With BSC,BDB-657985,"$8,086 ",9,Matched by Material ID,pyxis
35730,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401511,Targeted Temperature Management,PH240151121000,Arctic Sun,PH240151131000,Arctic Sun-Hardware,PH240151141026,Arctic Sun-Hrdware Repl Parts,PH240151151001,Arctic Sun-Hrdware Repl Parts,403102-00,ARCTIC SUN SPARE PART LEVEL SNSR M5000,403102-00-ARCTIC SUN SPARE PART LEVEL SNSR M5000,UCC-403102-00,"$2,707 ",9,Matched by Material ID,pyxis
35795,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421000,Microbiology - PC Adjustment,PH211100437650,Microbiology - PC Adjustment,PH211100441379,Microbiology - PC Adjustment,PH211100451675,Microbiology - PC Adjustment,430368,UPM 802Va 230V In/Out,430368-UPM 802Va 230V In/Out,DS-430368,"$2,438 ",9,Classified by ML model,pyxis
36137,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220055021002,Cytognos Software,PH220055031006,Cytognos Infinicyt,PH220055041022,Cytognos Infinicyt,PH220055051036,Cytognos Upgrades,CYT-INF-UPG-5,Infinicyt upgrade (from 1.8)+5DB,CYT-INF-UPG-5-Infinicyt upgrade (from 1.8)+5DB,BDB-CYT-INF-UPG-5, $-   ,9,Classified by ML model,pyxis
36139,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032650,FACSAria Options,PH220070041041,FACSAria Options,PH220070051185,FACSAria Other Options and Upgrades,656750,Mirror Dichroic Combo Pack Bril Violet,656750-Mirror Dichroic Combo Pack Bril Violet,BDB-656750, $-   ,9,Matched by Material ID,pyxis
36143,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031150,All Other Instruments,PH211800041008,PrepStain Instr Accessories,PH211800051014,Spares-PrepStainInst,490109,Kit Prepstain Germany,490109-Kit Prepstain Germany,DS-490109, $-   ,9,Classified by ML model,pyxis
36144,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031150,All Other Instruments,PH211800041009,FocalPoint Instrument Accessories,PH211800051016,Spares - FocalPoint,490166,Kit Gs Keyboard And Mouse,490166-Kit Gs Keyboard And Mouse,DS-490166, $-   ,9,Classified by ML model,pyxis
36145,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031150,All Other Instruments,PH211800041009,FocalPoint Instrument Accessories,PH211800051016,Spares - FocalPoint,490659,Kit Gs Country 2.4.1/2.4.2,490659-Kit Gs Country 2.4.1/2.4.2,DS-490659, $-   ,9,Classified by ML model,pyxis
36148,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032600,FACSAria Instrument,PH220070041040,FACSAria Instrument,PH220070051182,FACSAria III Instrument,648282D8,ARIA III 3B/3R/6V/5YG/2UV ACDU,648282D8-ARIA III 3B/3R/6V/5YG/2UV ACDU,BDB-648282D8,"$3,076,450 ",8,Matched by Material ID,pyxis
36149,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032550,FACSAria Fusion Instrument,PH220070041039,FACSAria Fusion Instrument,PH220070051178,FACSAria Fusion Instrument,656700N4,Fusion 3B/3R/6V/3UV/4YG ACDU with Hood,656700N4-Fusion 3B/3R/6V/3UV/4YG ACDU with Hood,BDB-656700N4,"$2,969,704 ",8,Matched by Material ID,pyxis
36151,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031950,PrepStain Instr - Sale,PH211800041007,PrepStain Instr Sales,PH211800051012,PrepStain Inst Sales,490100,INSTRUMENT PREPSTAIN TECAN US II,490100-INSTRUMENT PREPSTAIN TECAN US II,DS-490100,"$270,066 ",8,Matched by Material ID,pyxis
36154,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022200,FACSMelody,PH220070033000,FACSMelody Options,PH220070041048,FACSMelody Options,PH220070051192,FACSMelody Other Options and Upgrades,664386,BD FACSMelody Temp Control 100V 4-way,664386-BD FACSMelody Temp Control 100V 4-way,BDB-664386,"$47,664 ",8,Matched by Material ID,pyxis
36370,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401511,Targeted Temperature Management,PH240151121000,Arctic Sun,PH240151131000,Arctic Sun-Hardware,PH240151141026,Arctic Sun-Hrdware Repl Parts,PH240151151001,Arctic Sun-Hrdware Repl Parts,40434100,SPARE PART AS6000 CASTER,40434100-SPARE PART AS6000 CASTER,UCC-40434100,"$3,204 ",8,Matched by Material ID,pyxis
37065,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031150,All Other Instruments,PH211800041014,PrepStain Plus Accessories,PH211800051026,Spares- PS Plus,444744,ASSY SLIDE TRAY SUPPORT SP,444744-ASSY SLIDE TRAY SUPPORT SP,DS-444744,$156 ,8,Classified by ML model,pyxis
37082,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306004,CME,PH230600421007,POC Systems,PH230600431043,CME BODYGUARD C VISION - Placement,PH230600441137,Drug Infusion - Placement,PH230600451183,Ambulatory LVP CME - Placement,L999-683BDEN,Loaner BD BodyGuard Epidural Infusion Pump BG545,L999-683BDEN-Loaner BD BodyGuard Epidural Infusion Pump BG545,MMS-L999-683BDEN, $-   ,8,Matched by Material ID,pyxis
37083,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023150,FACSCalibur,PH220020035800,FACSCalibur Options,PH220020041119,FACSCalibur Options,PH220020051318,FACSCalibur Other Options and Upgrades,338149,FACSCalibur E1016+ FL4 Upgrade Europe,338149-FACSCalibur E1016+ FL4 Upgrade Europe,BDB-338149, $-   ,8,Classified by ML model,pyxis
37084,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022550,FACSDiscover S8,PH220070034350,FACSDiscover S8 Options,PH220070041079,FACSDiscover S8 Options,PH220070051234,FACSDiscover S8 Options,S8-BSCTABLE,S8 Side BSC Table,S8-BSCTABLE-S8 Side BSC Table,BDB-S8-BSCTABLE, $-   ,8,Classified by ML model,pyxis
37088,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111006,Informatics,PH211100621000,Informatics,PH211100436600,Epicenter,PH211100441290,Epicenter Hardware,PH211100451521,Epicenter Hardware,257742,INSTALL KIT RSS EU,257742-INSTALL KIT RSS EU,DS-257742, $-   ,8,Classified by ML model,pyxis
37090,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031150,All Other Instruments,PH211800041009,FocalPoint Instrument Accessories,PH211800051016,Spares - FocalPoint,490139,Kit Svc Tools,490139-Kit Svc Tools,DS-490139, $-   ,8,Classified by ML model,pyxis
37094,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032550,FACSAria Fusion Instrument,PH220070041039,FACSAria Fusion Instrument,PH220070051178,FACSAria Fusion Instrument,656700C2,Fusion 3B/3R/6V/5YG ACDU,656700C2-Fusion 3B/3R/6V/5YG ACDU,BDB-656700C2,"$1,822,858 ",7,Matched by Material ID,pyxis
37096,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023350,FACSLyric,PH220020036350,FACSLyric Instrument,PH220020041135,FACSLyric Instrument,PH220020051348,FACSLyric RUO Instrument - 12 Color,662383,FACSLyric 3L12C Instrument RUO,662383-FACSLyric 3L12C Instrument RUO,BDB-662383,"$1,368,769 ",7,Matched by Material ID,pyxis
37097,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022200,FACSMelody,PH220070032950,FACSMelody Instrument,PH220070041047,FACSMelody Instrument,PH220070051191,FACSMelody Instrument,653873,BD FACSMelody BRV 9 Color 4way,653873-BD FACSMelody BRV 9 Color 4way,BDB-653873,"$1,315,000 ",7,Matched by Material ID,pyxis
37098,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022800,FACSymphony A1,PH220070034500,FACSymphony A1 Instrument,PH220070041088,FACSymphony A1 Instrument,PH220070051249,FACSymphony A1 Instrument,664894,FACSSymphony A1 2B2R4YG6V SPD,664894-FACSSymphony A1 2B2R4YG6V SPD,BDB-664894,"$1,050,810 ",7,Matched by Material ID,pyxis
37099,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421550,ID/AST,PH211100435900,BioTyper Instr - Sale,PH211100441247,BioTyper Sales,PH211100451429,LT MALDI-TOF Sales,8604561,Bruker IVD MALDI Biotyper China,8604561-Bruker IVD MALDI Biotyper China,DS-8604561,"$918,718 ",7,Matched by Material ID,pyxis
37101,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401110,Oncology,PH240111021007,Other Biopsy,PH240111031045,CoreLite Capital,PH240111041106,CoreLite Capital,PH240111051121,CoreLite Capital,A4112EU2,CORELITE CAPITAL2- EU,A4112EU2-CORELITE CAPITAL2- EU,PI-A4112EU2,"$256,796 ",7,Matched by Material ID,pyxis
