,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 12
22118,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401511,Targeted Temperature Management,PH240151121000,Arctic Sun,PH240151131000,Arctic Sun-Hardware,PH240151141026,Arctic Sun-Hrdware Repl Parts,PH240151151001,Arctic Sun-Hrdware Repl Parts,403077-00,SPARE PART CIRC PUMP AS5000,403077-00-SPARE PART CIRC PUMP AS5000,UCC-403077-00,"$75,358 ",67,Matched by Material ID,pyxis
22121,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401511,Targeted Temperature Management,PH240151121000,Arctic Sun,PH240151131000,Arctic Sun-Hardware,PH240151141000,Arctic Sun-Hardware,PH240151151000,Arctic Sun-Hardware,60000000L,ARCTIC SUN STAT 115V B PWR LNR,60000000L-ARCTIC SUN STAT 115V B PWR LNR,UCC-60000000L,"$29,000 ",67,Matched by Material ID,pyxis
22270,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401511,Targeted Temperature Management,PH240151121000,Arctic Sun,PH240151131000,Arctic Sun-Hardware,PH240151141026,Arctic Sun-Hrdware Repl Parts,PH240151151001,Arctic Sun-Hrdware Repl Parts,40310200,SPARE PART LEVEL SENSOR AS5000,40310200-SPARE PART LEVEL SENSOR AS5000,UCC-40310200,"$24,987 ",65,Matched by Material ID,pyxis
22472,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306001,Alaris System,PH230600121011,POC Systems,PH230600131062,Alaris System PC Unit License,PH230600141169,POC Applications,PH230600151266,Alaris System ICM Non-Commissionable,49000993,KIT 8990 POC PCU V12.5.0,49000993-KIT 8990 POC PCU V12.5.0,MMS-49000993,$125 ,63,Classified by ML model,pyxis
22476,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401511,Targeted Temperature Management,PH240151121000,Arctic Sun,PH240151131000,Arctic Sun-Hardware,PH240151141026,Arctic Sun-Hrdware Repl Parts,PH240151151001,Arctic Sun-Hrdware Repl Parts,403076-00,MIXING PUMP ASSEMBLY,403076-00-MIXING PUMP ASSEMBLY,UCC-403076-00,"$67,522 ",62,Matched by Material ID,pyxis
22574,BLS,BDB,Biosciences,BDB,Biosciences,2200100,Single Cell Multiomics,PH220010021150,SCM Instruments,PH220080035400,Rhapsody Scanner,PH220080041101,Rhapsody Scanner,PH220080051287,Rhapsody Scanner,633701,BD Rhapsody Scanner,633701-BD Rhapsody Scanner,BDB-633701,"$2,348,702 ",61,Matched by Material ID,pyxis
22650,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220055021002,Cytognos Software,PH220055031006,Cytognos Infinicyt,PH220055041022,Cytognos Infinicyt,PH220055051035,Cytognos Licenses,CYT-INF-D-R,Infinicyt RUO with Dongle+5DB,CYT-INF-D-R-Infinicyt RUO with Dongle+5DB,BDB-CYT-INF-D-R,"$257,639 ",60,Classified by ML model,pyxis
22824,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421000,Microbiology - PC Adjustment,PH211100437650,Microbiology - PC Adjustment,PH211100441379,Microbiology - PC Adjustment,PH211100451675,Microbiology - PC Adjustment,R4-510-050,1-channel Reservoirs,R4-510-050-1-channel Reservoirs,DS-R4-510-050,$206 ,60,Matched by Material ID,pyxis
23036,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022800,FACSymphony A1,PH220070034500,FACSymphony A1 Instrument,PH220070041088,FACSymphony A1 Instrument,PH220070051249,FACSymphony A1 Instrument,664893,FACSSymphony A1 2B3R5YG6V,664893-FACSSymphony A1 2B3R5YG6V,BDB-664893,"$7,045,766 ",57,Matched by Material ID,pyxis
23037,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401110,Oncology,PH240111021005,Vacuum Assisted,PH240111031015,Encor Capital,PH240111041057,Encor Enspire Capital,PH240111051072,Encor Enspire Capital,E4115,ENCOR ENSPIRE VACUUM ASSISTED,E4115-ENCOR ENSPIRE VACUUM ASSISTED,PI-E4115,"$1,454,866 ",57,Matched by Material ID,pyxis
23039,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032650,FACSAria Options,PH220070041041,FACSAria Options,PH220070051185,FACSAria Other Options and Upgrades,333729,BD FACSAria Aerosol Mgmt Option 230V,333729-BD FACSAria Aerosol Mgmt Option 230V,BDB-333729,"$166,506 ",57,Matched by Material ID,pyxis
23118,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111006,Informatics,PH211100621000,Informatics,PH211100436600,Epicenter,PH211100441290,Epicenter Hardware,PH211100451521,Epicenter Hardware,257701,EPI Nuc Client Startergroup,257701-EPI Nuc Client Startergroup,DS-257701,"$1,228 ",57,Classified by ML model,pyxis
23149,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401511,Targeted Temperature Management,PH240151121000,Arctic Sun,PH240151131000,Arctic Sun-Hardware,PH240151141026,Arctic Sun-Hrdware Repl Parts,PH240151151001,Arctic Sun-Hrdware Repl Parts,40307500,FLOWMETER,40307500-FLOWMETER,UCC-40307500,"$18,778 ",56,Matched by Material ID,pyxis
23208,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111006,Informatics,PH211100621000,Informatics,PH211100436600,Epicenter,PH211100441290,Epicenter Hardware,PH211100451521,Epicenter Hardware,256644,Epicenter Workstation Europe,256644-Epicenter Workstation Europe,DS-256644, $-   ,56,Classified by ML model,pyxis
23213,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023200,FACSCanto,PH220020035950,FACSCanto Options,PH220020041124,FACSCanto Loader,PH220020051327,FACSCanto Loader,342065,FACS Loader For FACSCanto II,342065-FACS Loader For FACSCanto II,BDB-342065,"$42,770 ",55,Matched by Material ID,pyxis
23394,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111006,Informatics,PH211100621000,Informatics,PH211100436600,Epicenter,PH211100441290,Epicenter Hardware,PH211100451521,Epicenter Hardware,442941,KIT INSTALL EPICNETER NUC 5i5,442941-KIT INSTALL EPICNETER NUC 5i5,DS-442941,$541 ,54,Matched by Material ID,pyxis
23402,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401137,Peripheral Vascular Disease,PH240113721005,PAD Mechanical,PH240113731003,Crosser Catheters,PH240113741055,Crosser iQ Catheters,PH240113751055,Crosser iQ Catheters,BDRECANSYSTEM,BD RECANALIZATION SYSTEM,BDRECANSYSTEM-BD RECANALIZATION SYSTEM,PI-BDRECANSYSTEM,"$794,451 ",53,Matched by Material ID,pyxis
